Period,Player,Partner,FinalNode,FinalDirection,MyPayoff,PartnerPayoff,MyType,MadeFinalDecision,PartnerDuration,SortScore,
1,1,2,2,pay1,21,35,1,False,0,0,
1,2,1,2,pay1,35,21,2,True,0,0,
