Period,Player,Partner,PlayerType,DecisionType,DecisionLength,DecisionDirection,DecisionInfo,DecisionNode,PeriodTime,
1,1,2,1,Node,8295.146,sub2,2,1,8293.1455,
1,2,1,2,PayOff,4080.2406,pay1,21\35,2,12375.389,
